epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3389.98,0.84296,0.90179,1.21804,0.74891,0.58568,0.66275,0.44833,1.03103,1.09149,1.29896,0.000742625,0.000742625,0.000742625
43,3470.34,0.84341,0.89792,1.21906,0.76331,0.61552,0.69312,0.4645,1.02255,1.02197,1.26584,0.00073025,0.00073025,0.00073025
44,3551.83,0.84591,0.87605,1.20586,0.77471,0.59105,0.68096,0.46038,1.01461,1.06628,1.27806,0.000717875,0.000717875,0.000717875
45,3632.89,0.81042,0.87264,1.1993,0.78724,0.60519,0.68932,0.47325,0.99263,1.01345,1.2521,0.0007055,0.0007055,0.0007055
46,3713.89,0.83877,0.85331,1.20459,0.77026,0.60605,0.68586,0.47155,1.01655,1.06005,1.26863,0.000693125,0.000693125,0.000693125
47,3794.84,0.80166,0.84823,1.19414,0.78923,0.60735,0.69197,0.48111,0.97254,1.00963,1.24818,0.00068075,0.00068075,0.00068075
48,3875.2,0.8012,0.8168,1.18864,0.7938,0.6009,0.68988,0.47691,0.98229,1.01846,1.24146,0.000668375,0.000668375,0.000668375
49,3955.95,0.81823,0.8408,1.20063,0.78724,0.60912,0.69208,0.47508,0.98756,0.99862,1.24748,0.000656,0.000656,0.000656
50,4036.04,0.79717,0.8156,1.19101,0.79378,0.60291,0.69285,0.48051,0.97844,1.01855,1.24398,0.000643625,0.000643625,0.000643625
51,4116.66,0.79288,0.7929,1.17396,0.81055,0.59706,0.68952,0.47683,0.99052,0.98396,1.24871,0.00063125,0.00063125,0.00063125
52,4197.35,0.79878,0.81896,1.18173,0.76421,0.61644,0.6912,0.48026,0.98482,1.00565,1.24186,0.000618875,0.000618875,0.000618875
53,4277.51,0.79844,0.79952,1.18525,0.76814,0.61428,0.68373,0.47744,0.98978,1.02285,1.24624,0.0006065,0.0006065,0.0006065
54,4357.91,0.77763,0.79521,1.17296,0.80809,0.59896,0.69315,0.48021,0.97697,0.99141,1.24055,0.000594125,0.000594125,0.000594125
55,4438.17,0.79023,0.78044,1.17469,0.80402,0.62254,0.70871,0.49432,0.97478,0.9716,1.22874,0.00058175,0.00058175,0.00058175
56,4518.72,0.80429,0.80416,1.17802,0.79799,0.61151,0.69732,0.49087,0.95329,0.95964,1.21973,0.000569375,0.000569375,0.000569375
57,4599.11,0.77735,0.75228,1.16479,0.78608,0.62276,0.69838,0.48413,0.98085,0.97417,1.24334,0.000557,0.000557,0.000557
58,4679.3,0.76523,0.74572,1.16088,0.783,0.62174,0.70237,0.49651,0.9612,0.95492,1.23334,0.000544625,0.000544625,0.000544625
59,4760.3,0.77126,0.76499,1.16232,0.78436,0.63686,0.71199,0.49554,0.98378,0.95883,1.23571,0.00053225,0.00053225,0.00053225
60,4841.01,0.76832,0.74576,1.16018,0.7812,0.6164,0.69269,0.48004,0.98785,0.95486,1.23858,0.000519875,0.000519875,0.000519875
61,4921.83,0.76577,0.73484,1.15463,0.76192,0.62743,0.69596,0.48631,0.96792,0.95945,1.21955,0.0005075,0.0005075,0.0005075
62,5002.62,0.76555,0.74308,1.15462,0.77979,0.62601,0.70132,0.50132,0.94888,0.9675,1.21984,0.000495125,0.000495125,0.000495125
63,5082.92,0.76424,0.74081,1.15927,0.77799,0.63899,0.70856,0.50054,0.95892,0.92864,1.22726,0.00048275,0.00048275,0.00048275
64,5163.62,0.75998,0.72763,1.15561,0.80244,0.62644,0.71448,0.49911,0.9698,0.94576,1.23546,0.000470375,0.000470375,0.000470375
65,5243.86,0.74312,0.69541,1.13875,0.80254,0.63085,0.71136,0.50612,0.93538,0.93382,1.21787,0.000458,0.000458,0.000458
66,5323.93,0.76767,0.7107,1.15414,0.79144,0.63188,0.7095,0.49813,0.97154,0.94823,1.22855,0.000445625,0.000445625,0.000445625
67,5404.21,0.75631,0.71052,1.15269,0.77225,0.63766,0.70908,0.50078,0.95406,0.9148,1.22373,0.00043325,0.00043325,0.00043325
68,5484.22,0.74207,0.68817,1.14241,0.77778,0.6408,0.71545,0.49668,0.97138,0.95517,1.23445,0.000420875,0.000420875,0.000420875
69,5564.04,0.74812,0.67714,1.144,0.79475,0.6316,0.71507,0.4994,0.96853,0.92891,1.22208,0.0004085,0.0004085,0.0004085
70,5644.06,0.73735,0.67825,1.13654,0.79728,0.6444,0.72599,0.51047,0.94348,0.91698,1.2104,0.000396125,0.000396125,0.000396125
71,5724.04,0.74071,0.66921,1.14008,0.8022,0.63785,0.72341,0.50699,0.96783,0.91385,1.22947,0.00038375,0.00038375,0.00038375
72,5804.2,0.73139,0.66683,1.13472,0.7997,0.63671,0.7221,0.50353,0.96669,0.93138,1.23114,0.000371375,0.000371375,0.000371375
73,5884.53,0.72867,0.66969,1.13264,0.81491,0.62987,0.7162,0.50431,0.96375,0.93839,1.2206,0.000359,0.000359,0.000359
74,5964.64,0.72028,0.65853,1.12829,0.79634,0.63935,0.7148,0.50194,0.9667,0.92543,1.22264,0.000346625,0.000346625,0.000346625
75,6045.18,0.7218,0.6549,1.12878,0.80637,0.64051,0.72185,0.51223,0.95533,0.92006,1.20875,0.00033425,0.00033425,0.00033425
76,6125.65,0.71998,0.6533,1.12559,0.80422,0.64924,0.72537,0.5083,0.96269,0.89705,1.21806,0.000321875,0.000321875,0.000321875
77,6205.75,0.72352,0.64456,1.12532,0.79865,0.64949,0.72626,0.51094,0.96328,0.90358,1.22244,0.0003095,0.0003095,0.0003095
78,6286.64,0.73301,0.64161,1.12603,0.82154,0.6367,0.72826,0.51559,0.94543,0.88458,1.20154,0.000297125,0.000297125,0.000297125
79,6367.74,0.70492,0.63114,1.11729,0.80105,0.65374,0.73128,0.51697,0.94652,0.89602,1.21515,0.00028475,0.00028475,0.00028475
80,6448.23,0.70219,0.62187,1.11473,0.81404,0.63658,0.72703,0.51417,0.94582,0.9068,1.20188,0.000272375,0.000272375,0.000272375
81,6528.98,0.69958,0.61594,1.11778,0.79712,0.64691,0.7261,0.51517,0.93605,0.89248,1.19977,0.00026,0.00026,0.00026
82,6609.53,0.7106,0.62668,1.11802,0.80103,0.6431,0.72608,0.51578,0.94172,0.89612,1.20409,0.000247625,0.000247625,0.000247625
83,6689.91,0.69091,0.60353,1.10906,0.80593,0.63617,0.72655,0.51569,0.94499,0.88983,1.20433,0.00023525,0.00023525,0.00023525
84,6770.43,0.68872,0.60077,1.10945,0.82103,0.63722,0.72997,0.51424,0.95534,0.88654,1.21653,0.000222875,0.000222875,0.000222875
85,6850.6,0.70696,0.60741,1.12184,0.80679,0.65258,0.73305,0.52252,0.93206,0.88059,1.20553,0.0002105,0.0002105,0.0002105
86,6930.96,0.70255,0.60122,1.11263,0.8079,0.6538,0.73648,0.52317,0.94783,0.8757,1.20605,0.000198125,0.000198125,0.000198125
87,7011.7,0.68877,0.58765,1.10277,0.81331,0.65277,0.7396,0.5252,0.9408,0.87106,1.20045,0.00018575,0.00018575,0.00018575
88,7092.23,0.68529,0.59469,1.10907,0.82489,0.6479,0.7363,0.52268,0.94096,0.88399,1.20463,0.000173375,0.000173375,0.000173375
89,7172.69,0.70978,0.60157,1.11762,0.82066,0.64659,0.72981,0.515,0.94913,0.89499,1.20807,0.000161,0.000161,0.000161
90,7252.95,0.68143,0.58639,1.10345,0.80074,0.66045,0.73898,0.52039,0.94617,0.87257,1.20505,0.000148625,0.000148625,0.000148625
91,7333.8,0.65854,0.50951,1.08138,0.81365,0.63881,0.72405,0.51399,0.95395,0.90388,1.21126,0.00013625,0.00013625,0.00013625
92,7412.66,0.64392,0.48071,1.06797,0.804,0.65094,0.73382,0.5239,0.94097,0.8877,1.20373,0.000123875,0.000123875,0.000123875
93,7491.59,0.63877,0.47276,1.06429,0.81456,0.64738,0.73418,0.52304,0.93767,0.88935,1.20526,0.0001115,0.0001115,0.0001115
94,7570.42,0.64187,0.47083,1.07072,0.80835,0.65757,0.73722,0.5244,0.94123,0.88431,1.20039,9.9125e-05,9.9125e-05,9.9125e-05
95,7650.38,0.63307,0.45831,1.05917,0.81266,0.65869,0.73829,0.5239,0.93896,0.88201,1.20146,8.675e-05,8.675e-05,8.675e-05
96,7729.61,0.62682,0.45754,1.06081,0.79783,0.66456,0.73845,0.52056,0.94692,0.87375,1.19788,7.4375e-05,7.4375e-05,7.4375e-05
97,7808.82,0.62932,0.46532,1.05675,0.8142,0.65461,0.73633,0.52462,0.93417,0.87999,1.19907,6.2e-05,6.2e-05,6.2e-05
98,7886.83,0.61845,0.45139,1.05523,0.81827,0.6499,0.73543,0.52325,0.93551,0.88016,1.19676,4.9625e-05,4.9625e-05,4.9625e-05
99,7965.67,0.62017,0.45214,1.05762,0.81285,0.65366,0.73632,0.52311,0.94266,0.88519,1.20263,3.725e-05,3.725e-05,3.725e-05
100,8045.04,0.61152,0.44086,1.05282,0.80879,0.65449,0.73697,0.52474,0.93568,0.87936,1.19679,2.4875e-05,2.4875e-05,2.4875e-05
